,Ingredient,DF;Route,Trade_Name,Applicant,Strength,Appl_Type,Appl_No,Product_No,TE_Code,Approval_Date,RLD,RS,Type,Applicant_Full_Name,Patent_No,Patent_Expire_Date_Text,Drug_Substance_Flag,Drug_Product_Flag,Patent_Use_Code,Delist_Flag,Submission_Date,Exclusivity_Code,Exclusivity_Date,Patent_Duration,Exclusivity_Duration
2,MINOCYCLINE HYDROCHLORIDE,"AEROSOL, FOAM;TOPICAL",AMZEEQ,JOURNEY,EQ 4% BASE,N,212379,1,,2019-10-18,Yes,Yes,RX,JOURNEY MEDICAL CORP,10137200,2030-10-01,,,U-2647,,"Nov 15, 2019",,,10.954140999315538,
3,MINOCYCLINE HYDROCHLORIDE,"AEROSOL, FOAM;TOPICAL",AMZEEQ,JOURNEY,EQ 4% BASE,N,212379,1,,2019-10-18,Yes,Yes,RX,JOURNEY MEDICAL CORP,8865139,2030-10-01,,Y,U-2647,,"Nov 15, 2019",,,10.954140999315538,
5,MINOCYCLINE HYDROCHLORIDE,"AEROSOL, FOAM;TOPICAL",AMZEEQ,JOURNEY,EQ 4% BASE,N,212379,1,,2019-10-18,Yes,Yes,RX,JOURNEY MEDICAL CORP,9675700,2030-10-01,,Y,U-2647,,"Nov 15, 2019",,,10.954140999315538,
6,MINOCYCLINE HYDROCHLORIDE,"AEROSOL, FOAM;TOPICAL",AMZEEQ,JOURNEY,EQ 4% BASE,N,212379,1,,2019-10-18,Yes,Yes,RX,JOURNEY MEDICAL CORP,8992896,2030-10-01,,Y,U-2647,,"Nov 15, 2019",,,10.954140999315538,
7,MINOCYCLINE HYDROCHLORIDE,"AEROSOL, FOAM;TOPICAL",AMZEEQ,JOURNEY,EQ 4% BASE,N,212379,1,,2019-10-18,Yes,Yes,RX,JOURNEY MEDICAL CORP,10086080,2030-10-01,,,U-2647,,"Nov 15, 2019",,,10.954140999315538,
8,MINOCYCLINE HYDROCHLORIDE,"AEROSOL, FOAM;TOPICAL",AMZEEQ,JOURNEY,EQ 4% BASE,N,212379,1,,2019-10-18,Yes,Yes,RX,JOURNEY MEDICAL CORP,10213512,2030-10-01,,Y,U-2647,,"Nov 15, 2019",,,10.954140999315538,
9,MINOCYCLINE HYDROCHLORIDE,"AEROSOL, FOAM;TOPICAL",AMZEEQ,JOURNEY,EQ 4% BASE,N,212379,1,,2019-10-18,Yes,Yes,RX,JOURNEY MEDICAL CORP,10517882,2030-10-01,,,U-2647,,"Jan 10, 2020",,,10.954140999315538,
11,MINOCYCLINE HYDROCHLORIDE,"AEROSOL, FOAM;TOPICAL",AMZEEQ,JOURNEY,EQ 4% BASE,N,212379,1,,2019-10-18,Yes,Yes,RX,JOURNEY MEDICAL CORP,10821187,2030-10-01,,,U-2647,,"Nov 16, 2020",,,10.954140999315538,
12,MINOCYCLINE HYDROCHLORIDE,"AEROSOL, FOAM;TOPICAL",AMZEEQ,JOURNEY,EQ 4% BASE,N,212379,1,,2019-10-18,Yes,Yes,RX,JOURNEY MEDICAL CORP,8945516,2030-10-01,,Y,,,"Nov 15, 2019",,,10.954140999315538,
13,MINOCYCLINE HYDROCHLORIDE,"AEROSOL, FOAM;TOPICAL",AMZEEQ,JOURNEY,EQ 4% BASE,N,212379,1,,2019-10-18,Yes,Yes,RX,JOURNEY MEDICAL CORP,10265404,2030-10-01,,Y,,,"Nov 15, 2019",,,10.954140999315538,
46,TAZAROTENE,"AEROSOL, FOAM;TOPICAL",FABIOR,MAYNE PHARMA,0.1%,N,202428,1,,2012-05-11,Yes,Yes,RX,MAYNE PHARMA LLC,10568859,2030-02-24,,Y,U-2760,,"Mar 25, 2020",,,17.790554414784395,
47,TAZAROTENE,"AEROSOL, FOAM;TOPICAL",FABIOR,MAYNE PHARMA,0.1%,N,202428,1,,2012-05-11,Yes,Yes,RX,MAYNE PHARMA LLC,10688071,2030-02-24,,Y,U-2760,,"Jul 8, 2020",,,17.790554414784395,
48,TAZAROTENE,"AEROSOL, FOAM;TOPICAL",FABIOR,MAYNE PHARMA,0.1%,N,202428,1,,2012-05-11,Yes,Yes,RX,MAYNE PHARMA LLC,8808716,2030-02-24,,Y,,,"Aug 20, 2014",,,17.790554414784395,
49,AZELAIC ACID,"AEROSOL, FOAM;TOPICAL",FINACEA,LEO PHARMA AS,15%,N,207071,1,,2015-07-29,Yes,Yes,RX,LEO PHARMA AS,10117812,2027-10-18,,Y,U-1796,,"Nov 15, 2018",,,12.2217659137577,
50,AZELAIC ACID,"AEROSOL, FOAM;TOPICAL",FINACEA,LEO PHARMA AS,15%,N,207071,1,,2015-07-29,Yes,Yes,RX,LEO PHARMA AS,9211259,2029-02-28,,,U-1796,,"Jan 14, 2016",,,13.587953456536619,
51,AZELAIC ACID,"AEROSOL, FOAM;TOPICAL",FINACEA,LEO PHARMA AS,15%,N,207071,1,,2015-07-29,Yes,Yes,RX,LEO PHARMA AS,9265725,2027-12-08,,Y,,,"Mar 23, 2016",,,12.361396303901437,
52,AZELAIC ACID,"AEROSOL, FOAM;TOPICAL",FINACEA,LEO PHARMA AS,15%,N,207071,1,,2015-07-29,Yes,Yes,RX,LEO PHARMA AS,7700076,2027-09-18,,Y,,,"Aug 26, 2015",,,12.139630390143736,
